最終的なパラメーター: a = 2.4914924913801144, b = 0.04090593704022437
エポック数	aの値	bの値	平均二乗誤差
1	0.4471559595959596	0.006821616161616162	29163.661616161615
2	0.8157433275243341	0.0124799022909499	20042.42102850392
3	1.1195670915834417	0.01717926262175204	13844.899632696335
4	1.3700066177797863	0.021088186298896302	9633.929318856839
5	1.576441847088453	0.024345557881764603	6772.741573832708
6	1.7466046068050738	0.02706585905313341	4828.677480758229
7	1.8868681943190748	0.029343456355616672	3507.7624876935947
8	2.0024860792258017	0.031256135546280005	2610.252561130252
9	2.097788664000276	0.03286801494327589	2000.4295626817297
10	2.176345472602871	0.03423194687944512	1586.0784070533764
11	2.2410988415432223	0.035391497205658436	1304.5426059010483
12	2.2944741205968304	0.03638257698317041	1113.2495636556466
13	2.3384705105737527	0.037234787477528626	983.2728923023303
14	2.37473594032916	0.037972528828729105	894.9582599310975
15	2.4046287874197474	0.03861591392116425	834.9513285364485
16	2.4292687540588354	0.03918152168096513	794.1783557809821
17	2.4495788038513053	0.039683018014338794	766.4740940895902
18	2.4663197299846678	0.040131667643196894	747.6495025738529
19	2.4801186495750267	0.040536756008096704	734.8582943083753
20	2.4914924913801144	0.04090593704022437	726.1665303611973
