最終的なパラメーター: a = 0.5410265688251241, b = 135.36001477967943
エポック数	aの値	bの値	平均二乗誤差(正規化)
1	0.10894699804083043	163.45609798093085	0.9949494949494955
2	0.19621464394626326	157.78149726864575	0.7756172611085684
3	0.26611690980788777	153.23608477890627	0.6348899313272884
4	0.3221093308465426	149.5951634613675	0.544596858573867
5	0.3669598256785156	146.67874870903591	0.4866632716868999
6	0.40288552507422726	144.34267103368347	0.44949208692995446
7	0.4316623731760448	142.47144921898195	0.4256424161175677
8	0.454712919180834	140.97258164417556	0.41034005754119907
9	0.47317663936446813	139.77197357667916	0.4005218013546969
10	0.48796626573378316	138.8102743872603	0.3942222394889433
11	0.4998129058457698	138.0399436224026	0.3901803323573057
12	0.5093021842385026	137.42290089863272	0.38758697529392117
13	0.5169031920823784	136.9286434441383	0.3859230328432002
14	0.5229916761431801	136.53273823058868	0.3848554187770908
15	0.5278686133757211	136.2156141554929	0.3841704192486152
16	0.5317750893609787	135.96159456806768	0.3837309117815382
17	0.5349042160845235	135.75812231268566	0.3834489162390791
18	0.5374106781974235	135.59513898084936	0.3832679830538128
19	0.5394183796676555	135.4645876857522	0.38315189321336623
20	0.5410265688251241	135.36001477967943	0.38307740797708917
